restoration_condition,variants_reaching_LP,of_n
as scored (intrinsic evidence only),0,425
+ intrinsic criteria with no input here,27,425
+ criteria the partition routes away,52,425
both restored,89,425

code,reason unapplied,kind of limit
PS1,"implemented (adapters/clinvar.py) but deliberately not wired in: this benchmark runs ClinVar-blinded, and PS1 needs a same-amino-acid-change ClinVar lookup. Supplying it would reintroduce exactly the circularity the GeneBe exhibit demonstrates, so its absence here is a protocol choice, not a gap.",protocol choice (ClinVar-blinded)
PM5,"same as PS1 - implemented, and withheld for the same ClinVar-blinding reason (different missense at the same residue).",protocol choice (ClinVar-blinded)
PS4,"implemented as a decision tree in rules/variant_scoring.py, but it requires case-control inputs - proband counts against expectation, or an odds ratio with its confidence bound - and the eRepo annotation cache carries none of them. A data-availability limit.",data availability
PM1,"genuinely not implemented: no scorer emits PM1, and no VCEP specification in rules/vcep/specs/ encodes hotspot or critical-domain regions for the in-scope genes. The in_functional_domain annotation that exists feeds the PVS1 tree, not PM1. This is a scope limitation and the one item on this list that is a genuine engine gap rather than a protocol or data constraint.",engine scope gap

"NOTE: Points for the restored codes use default ACMG strengths, because stripping a strength suffix is how the code vocabulary is compared. VCEPs frequently apply gene-specific strengths above the default, so every count here is a lower bound on what the expert evidence would actually contribute."
